Date_reported,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,1,1,0,0
2020-03-09,0,1,0,0
2020-03-10,0,1,0,0
2020-03-11,2,3,0,0
2020-03-12,0,3,0,0
2020-03-13,6,9,0,0
2020-03-14,4,13,0,0
2020-03-15,3,16,0,0
2020-03-16,8,24,0,0
2020-03-17,21,45,0,0
2020-03-18,20,65,0,0
2020-03-19,28,93,0,0
2020-03-20,15,108,0,0
2020-03-21,20,128,0,0
2020-03-22,68,196,0,0
2020-03-23,0,196,2,2
2020-03-24,81,277,1,3
2020-03-25,29,306,0,3
2020-03-26,72,378,0,3
2020-03-27,92,470,1,4
2020-03-28,21,491,2,6
2020-03-29,232,723,0,6
2020-03-30,69,792,0,6
2020-03-31,-90,702,4,10
2020-04-01,96,798,4,14
2020-04-02,108,906,2,16
2020-04-03,159,1065,1,17
2020-04-04,96,1161,2,19
2020-04-05,106,1267,6,25
2020-04-06,139,1406,7,32
2020-04-07,79,1485,3,35
2020-04-08,94,1579,11,46
2020-04-09,201,1780,4,50
2020-04-10,274,2054,5,55
2020-04-11,169,2223,14,69
2020-04-12,250,2473,11,80
2020-04-13,236,2709,20,100
2020-04-14,67,2776,9,109
2020-04-15,76,2852,3,112
2020-04-16,127,2979,15,127
2020-04-17,126,3105,4,131
2020-04-18,128,3233,13,144
2020-04-19,206,3439,9,153
2020-04-20,182,3621,13,166
2020-04-21,171,3792,13,179
2020-04-22,185,3977,10,189
2020-04-23,172,4149,7,196
2020-04-24,207,4356,10,206
2020-04-25,205,4561,9,215
2020-04-26,320,4881,10,225
2020-04-27,261,5142,8,233
2020-04-28,237,5379,11,244
2020-04-29,218,5597,9,253
2020-04-30,352,5949,16,269
2020-05-01,262,6211,9,278
2020-05-02,296,6507,15,293
2020-05-03,499,7006,21,314
2020-05-04,279,7285,10,324
2020-05-05,383,7668,16,340
2020-05-06,305,7973,18,358
2020-05-07,640,8613,20,378
2020-05-08,346,8959,19,397
2020-05-09,497,9456,10,407
2020-05-10,595,10051,21,428
2020-05-11,444,10495,17,445
2020-05-12,568,11063,18,463
2020-05-13,550,11613,16,479
2020-05-14,659,12272,14,493
2020-05-15,658,12930,16,509
2020-05-16,680,13610,16,525
2020-05-17,606,14216,21,546
2020-05-18,723,14939,16,562
2020-05-19,635,15574,12,574
2020-05-20,721,16295,18,592
2020-05-21,640,16935,21,613
2020-05-22,752,17687,17,630
2020-05-23,643,18330,22,652
2020-05-24,801,19131,30,682
2020-05-25,1046,20177,23,705
2020-05-26,998,21175,22,727
2020-05-27,806,21981,23,750
2020-05-28,1022,23003,26,776
2020-05-29,1101,24104,27,803
2020-05-30,1262,25366,19,822
2020-05-31,1322,26688,31,853
2020-06-01,1548,28236,37,890
2020-06-02,1147,29383,49,939
2020-06-03,1110,30493,30,969
2020-06-04,1340,31833,40,1009
2020-06-05,1521,33354,36,1045
2020-06-06,1766,35120,42,1087
2020-06-07,1515,36635,58,1145
2020-06-08,1392,38027,60,1205
2020-06-09,1209,39236,54,1259
2020-06-10,1483,40719,49,1308
2020-06-11,1359,42078,64,1372
2020-06-12,1604,43682,61,1433
